NAMESPACE      NAME                                                 TYPE        CLUSTER-IP       EXTERNAL-IP   PORT(S)                        AGE
argocd         argocd-applicationset-controller                     ClusterIP   10.107.81.102    <none>        7000/TCP,8080/TCP              5h21m
argocd         argocd-dex-server                                    ClusterIP   10.100.51.151    <none>        5556/TCP,5557/TCP,5558/TCP     5h21m
argocd         argocd-metrics                                       ClusterIP   10.107.15.98     <none>        8082/TCP                       5h21m
argocd         argocd-notifications-controller-metrics              ClusterIP   10.105.29.137    <none>        9001/TCP                       5h21m
argocd         argocd-redis                                         ClusterIP   10.110.30.105    <none>        6379/TCP                       5h21m
argocd         argocd-repo-server                                   ClusterIP   10.108.39.23     <none>        8081/TCP,8084/TCP              5h21m
argocd         argocd-server                                        ClusterIP   10.104.128.78    <none>        80/TCP,443/TCP                 5h21m
argocd         argocd-server-metrics                                ClusterIP   10.97.196.26     <none>        8083/TCP                       5h21m
cert-manager   cert-manager                                         ClusterIP   10.99.34.235     <none>        9402/TCP                       5h35m
cert-manager   cert-manager-webhook                                 ClusterIP   10.101.165.185   <none>        443/TCP                        5h35m
default        default-backend                                      ClusterIP   10.105.196.122   <none>        80/TCP                         5h18m
default        kubernetes                                           ClusterIP   10.96.0.1        <none>        443/TCP                        5h38m
default        redis                                                ClusterIP   10.108.110.30    <none>        6379/TCP                       5h18m
default        test-app                                             NodePort    10.97.165.143    <none>        80:31322/TCP                   73m
kube-system    aws-load-balancer-webhook-service                    ClusterIP   10.107.106.91    <none>        443/TCP                        5h22m
kube-system    kube-dns                                             ClusterIP   10.96.0.10       <none>        53/UDP,53/TCP,9153/TCP         5h38m
kube-system    metrics-server                                       ClusterIP   10.103.73.70     <none>        443/TCP                        5h35m
kube-system    prometheus-kube-prometheus-coredns                   ClusterIP   None             <none>        9153/TCP                       5h20m
kube-system    prometheus-kube-prometheus-kube-controller-manager   ClusterIP   None             <none>        10257/TCP                      5h20m
kube-system    prometheus-kube-prometheus-kube-etcd                 ClusterIP   None             <none>        2381/TCP                       5h20m
kube-system    prometheus-kube-prometheus-kube-proxy                ClusterIP   None             <none>        10249/TCP                      5h20m
kube-system    prometheus-kube-prometheus-kube-scheduler            ClusterIP   None             <none>        10259/TCP                      5h20m
kube-system    prometheus-kube-prometheus-kubelet                   ClusterIP   None             <none>        10250/TCP,10255/TCP,4194/TCP   5h20m
messaging      rabbitmq                                             ClusterIP   10.101.0.232     <none>        15692/TCP,5672/TCP,15672/TCP   5h19m
messaging      rabbitmq-nodes                                       ClusterIP   None             <none>        4369/TCP,25672/TCP             5h19m
monitoring     alertmanager-operated                                ClusterIP   None             <none>        9093/TCP,9094/TCP,9094/UDP     5h20m
monitoring     prometheus-grafana                                   ClusterIP   10.100.208.187   <none>        80/TCP                         5h20m
monitoring     prometheus-kube-prometheus-alertmanager              ClusterIP   10.96.124.171    <none>        9093/TCP,8080/TCP              5h20m
monitoring     prometheus-kube-prometheus-operator                  ClusterIP   10.99.145.187    <none>        443/TCP                        5h20m
monitoring     prometheus-kube-prometheus-prometheus                ClusterIP   10.108.254.189   <none>        9090/TCP,8080/TCP              5h20m
monitoring     prometheus-kube-state-metrics                        ClusterIP   10.99.129.185    <none>        8080/TCP                       5h20m
monitoring     prometheus-operated                                  ClusterIP   None             <none>        9090/TCP                       5h20m
monitoring     prometheus-prometheus-node-exporter                  ClusterIP   10.100.82.34     <none>        9100/TCP                       5h20m
