positnSn,positnNm,positnRgnNm,positnLotnoAddr,positnRdnmAddr,positnPstnAddExpln,positnPstnLat,positnPstnLot,positnIntdcCn,positnCnvncFcltSrvcExpln,prkMthdExpln,monSalsHrExplnCn,tuesSalsHrExplnCn,wedSalsHrExplnCn,thurSalsHrExplnCn,friSalsHrExplnCn,satSalsHrExplnCn,sunSalsHrExplnCn,lhldySalsHrExplnCn,lhldyDyoffCn,tmprLhldyCn,dyoffBgndeCn,dyoffEnddtCn,dyoffRsnExpln,bscTelnoCn,rprsTelnoCn,telnoExpln,indivTelnoCn,lnkgHmpgUrlAddr,indivRelSrchListCn,comRelSrwrdListCn,clctItemCn,etcMttrCn
1,고양동 종합복지회관,고양시,경기도 고양시 덕양구 고양동 233-2,고양시 덕양구 혜음로 19-11,고양동 종합복지회관 우측 천막,37.7025454,126.901133,"가정에서 나오는 고품질 재활용품을 깨끗하게 가져오면 현금 또는 지역화폐로 유가보상해주는 고양자원순환가게입니다.

분리배출된 고품질 재활용품은 101% 재활용을 목표로 하며,
기후위기 대응 및 자원순환 활성화에 기여합니다.",,주차불가,휴무,11:00 ~ 14:00,휴무,휴무,휴무,휴무,휴무,휴무,휴무,전체휴무,,,,"031-8075-2706~2708 
고양시청 자원순환과 자원재활용팀",031-8075-2706,고양시청 자원순환과 자원재활용팀,,https://www.goyang.go.kr/www/www03/www03_3/www03_3_2/www03_3_2_tab5.jsp,"고양동, 고양 자원순환가게","고양 자원순환가게, 고품질 재활용품 유가보상제, 재활용, 분리배출, 투명페트병, 캔, 자원순환, 순환경제","투명페트병
유색페트병
판PET
플라스틱(PE)
종이박스
알루미늄 캔
철 캔","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
2,주교동 행정복지센터,고양시,경기도 고양시 덕양구 주교동 265-1,고양시 덕양구 고양대로1315번길 71,주교동 행정복지센터 주차장 정자 앞,37.6594363,126.829718,"가정에서 나오는 고품질 재활용품을 깨끗하게 가져오면 현금 또는 지역화폐로 유가보상해주는 고양자원순환가게입니다.

분리배출된 고품질 재활용품은 105% 재활용을 목표로 하며,
기후위기 대응 및 자원순환 활성화에 기여합니다.",,행정복지센터 주차장 주차 가능,휴무,휴무,휴무,11:00 ~ 14:00,휴무,휴무,휴무,휴무,휴무,전체휴무,,,,"031-8075-2706~2712 
고양시청 자원순환과 자원재활용팀",031-8075-2706,고양시청 자원순환과 자원재활용팀,,https://www.goyang.go.kr/www/www03/www03_3/www03_3_2/www03_3_2_tab9.jsp,"고양 자원순환가게, 주교동","고양 자원순환가게, 고품질 재활용품 유가보상제, 재활용, 분리배출, 투명페트병, 캔, 자원순환, 순환경제","투명페트병
유색페트병
판PET
플라스틱(PE)
종이박스
알루미늄 캔
철 캔","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
3,고양시청 후문,고양시,경기도 고양시 덕양구 주교동 600,고양시 덕양구 고양시청로 10,고양시청 후문 쉼터 천막,37.6581404,126.8321693,"가정에서 나오는 고품질 재활용품을 깨끗하게 가져오면 현금 또는 지역화폐로 유가보상해주는 고양자원순환가게입니다.

분리배출된 고품질 재활용품은 100% 재활용을 목표로 하며,
기후위기 대응 및 자원순환 활성화에 기여합니다.",,"시청 주차창 이용가능 
(1시간 무료, 이후 요금 발생)",휴무,11:00 ~ 14:00,휴무,휴무,휴무,휴무,휴무,휴무,휴무,전체휴무,,,,"031-8075-2706~2707 
고양시청 자원순환과 자원재활용팀",031-8075-2706,고양시청 자원순환과 자원재활용팀,,https://www.goyang.go.kr/www/www03/www03_3/www03_3_2/www03_3_2_tab4.jsp,"고양시청, 고양 자원순환가게","고양 자원순환가게, 고품질 재활용품 유가보상제, 재활용, 분리배출, 투명페트병, 캔, 자원순환, 순환경제","투명페트병
유색페트병
판PET
플라스틱(PE)
종이박스
알루미늄 캔
철 캔","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
4,행신4동 행정복지센터,고양시,경기도 고양시 덕양구 행신동 1082번지,고양시 덕양구 중앙로 454 1층,행신4동 행정복지센터 (임시청사) 건물 입구 왼쪽 큰 골목,37.6186131,126.8449806,"가정에서 나오는 고품질 재활용품을 깨끗하게 가져오면 현금 또는 지역화폐로 유가보상해주는 고양자원순환가게입니다.

분리배출된 고품질 재활용품은 103% 재활용을 목표로 하며,
기후위기 대응 및 자원순환 활성화에 기여합니다.",,임시청사 주차불가,휴무,휴무,11:00 ~ 14:00,휴무,휴무,휴무,휴무,휴무,휴무,전체휴무,,,,"031-8075-2706~2710 
고양시청 자원순환과 자원재활용팀",031-8075-2706,고양시청 자원순환과 자원재활용팀,,https://www.goyang.go.kr/www/www03/www03_3/www03_3_2/www03_3_2_tab7.jsp,"고양 자원순환가게, 행신4동","고양 자원순환가게, 고품질 재활용품 유가보상제, 재활용, 분리배출, 투명페트병, 캔, 자원순환, 순환경제","투명페트병
유색페트병
판PET
플라스틱(PE)
종이박스
알루미늄 캔
철 캔","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
5,화전동 행정복지센터,고양시,경기도 고양시 덕양구 화전동 226-13,고양시 덕양구 중앙로 131,화전동 행정복지센터 입구 앞,37.6000655,126.872609,"가정에서 나오는 고품질 재활용품을 깨끗하게 가져오면 현금 또는 지역화폐로 유가보상해주는 고양자원순환가게입니다.

분리배출된 고품질 재활용품은 102% 재활용을 목표로 하며,
기후위기 대응 및 자원순환 활성화에 기여합니다.",,행정복지센터 주차 가능,휴무,11:00 ~ 14:00,휴무,휴무,휴무,휴무,휴무,휴무,휴무,전체휴무,,,,"031-8075-2706~2709 
고양시청 자원순환과 자원재활용팀",031-8075-2706,고양시청 자원순환과 자원재활용팀,,https://www.goyang.go.kr/www/www03/www03_3/www03_3_2/www03_3_2_tab6.jsp,"화전동, 고양 자원순환가게","고양 자원순환가게, 고품질 재활용품 유가보상제, 재활용, 분리배출, 투명페트병, 캔, 자원순환, 순환경제","투명페트병
유색페트병
판PET
플라스틱(PE)
종이박스
알루미늄 캔
철 캔","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
6,이마트 화정점,고양시,경기도 고양시 덕양구 화정동 976,고양시 덕양구 백양로 79 이마트,이마트 화정점 주차창 입구 옆 골목,37.6326481,126.8335421,"가정에서 나오는 고품질 재활용품을 깨끗하게 가져오면 현금 또는 지역화폐로 유가보상해주는 고양자원순환가게입니다.

분리배출된 고품질 재활용품은 104% 재활용을 목표로 하며,
기후위기 대응 및 자원순환 활성화에 기여합니다.",,이마트 주차장 이용가능(유료),휴무,휴무,휴무,11:00 ~ 14:00,휴무,휴무,휴무,휴무,휴무,전체휴무,,,,"031-8075-2706~2711 
고양시청 자원순환과 자원재활용팀",031-8075-2706,고양시청 자원순환과 자원재활용팀,,https://www.goyang.go.kr/www/www03/www03_3/www03_3_2/www03_3_2_tab8.jsp,"고양 자원순환가게, 이마트화정점","고양 자원순환가게, 고품질 재활용품 유가보상제, 재활용, 분리배출, 투명페트병, 캔, 자원순환, 순환경제","투명페트병
유색페트병
판PET
플라스틱(PE)
종이박스
알루미늄 캔
철 캔","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
7,마두1동 행정복지센터,고양시,경기도 고양시 일산동구 마두동 727,고양시 일산동구 일산로 218,마두1동 행정복지센터 앞,37.6557861,126.7897146,"가정에서 나오는 고품질 재활용품을 깨끗하게 가져오면 현금 또는 지역화폐로 유가보상해주는 고양자원순환가게입니다.

분리배출된 고품질 재활용품은 111% 재활용을 목표로 하며,
기후위기 대응 및 자원순환 활성화에 기여합니다.",,행정복지센터 주차가능,휴무,휴무,휴무,휴무,11:00 ~ 14:00,휴무,휴무,휴무,휴무,전체휴무,,,,"031-8075-2706~2718 
고양시청 자원순환과 자원재활용팀",031-8075-2706,고양시청 자원순환과 자원재활용팀,,https://www.goyang.go.kr/www/www03/www03_3/www03_3_2/www03_3_2_tab15.jsp,"고양 자원순환가게, 마두1동","고양 자원순환가게, 고품질 재활용품 유가보상제, 재활용, 분리배출, 투명페트병, 캔, 자원순환, 순환경제","투명페트병
유색페트병
판PET
플라스틱(PE)
종이박스
알루미늄 캔
철 캔","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
8,백석1동 행정복지센터,고양시,경기도 고양시 일산동구 백석동 1147,고양시 일산동구 일산로 145,백석1동 행정복지센터 앞,37.6496769,126.7924918,"가정에서 나오는 고품질 재활용품을 깨끗하게 가져오면 현금 또는 지역화폐로 유가보상해주는 고양자원순환가게입니다.

분리배출된 고품질 재활용품은 112% 재활용을 목표로 하며,
기후위기 대응 및 자원순환 활성화에 기여합니다.",,행정복지센터 주차가능,휴무,휴무,휴무,휴무,11:00 ~ 14:00,휴무,휴무,휴무,휴무,전체휴무,,,,"031-8075-2706~2719 
고양시청 자원순환과 자원재활용팀",031-8075-2706,고양시청 자원순환과 자원재활용팀,,https://www.goyang.go.kr/www/www03/www03_3/www03_3_2/www03_3_2_tab16.jsp,"고양 자원순환가게, 백석1동","고양 자원순환가게, 고품질 재활용품 유가보상제, 재활용, 분리배출, 투명페트병, 캔, 자원순환, 순환경제","투명페트병
유색페트병
판PET
플라스틱(PE)
종이박스
알루미늄 캔
철 캔","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
9,장항1동 행정복지센터,고양시,경기도 고양시 일산동구 장항동 578-2,고양시 일산동구 장항로225번길 72,장항1동 행정복지센터 입구 옆 ,37.6416203,126.7706673,"가정에서 나오는 고품질 재활용품을 깨끗하게 가져오면 현금 또는 지역화폐로 유가보상해주는 고양자원순환가게입니다.

분리배출된 고품질 재활용품은 108% 재활용을 목표로 하며,
기후위기 대응 및 자원순환 활성화에 기여합니다.",,행정복지센터 주차 가능,휴무,휴무,11:00 ~ 14:00,휴무,휴무,휴무,휴무,휴무,휴무,전체휴무,,,,"031-8075-2706~2715 
고양시청 자원순환과 자원재활용팀",031-8075-2706,고양시청 자원순환과 자원재활용팀,,https://www.goyang.go.kr/www/www03/www03_3/www03_3_2/www03_3_2_tab12.jsp,"고양 자원순환가게, 장항1동","고양 자원순환가게, 고품질 재활용품 유가보상제, 재활용, 분리배출, 투명페트병, 캔, 자원순환, 순환경제","투명페트병
유색페트병
판PET
플라스틱(PE)
종이박스
알루미늄 캔
철 캔","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
10,정발산동 행정복지센터,고양시,경기도 고양시 일산동구 정발산동 1212,고양시 일산동구 일산로 422,정발산동 행정복지센터 옆 길,37.6723681,126.7799066,"가정에서 나오는 고품질 재활용품을 깨끗하게 가져오면 현금 또는 지역화폐로 유가보상해주는 고양자원순환가게입니다.

분리배출된 고품질 재활용품은 110% 재활용을 목표로 하며,
기후위기 대응 및 자원순환 활성화에 기여합니다.",,행정복지센터 주차가능,휴무,휴무,휴무,11:00 ~ 14:00,휴무,휴무,휴무,휴무,휴무,전체휴무,,,,"031-8075-2706~2717 
고양시청 자원순환과 자원재활용팀",031-8075-2706,고양시청 자원순환과 자원재활용팀,,https://www.goyang.go.kr/www/www03/www03_3/www03_3_2/www03_3_2_tab14.jsp,"고양 자원순환가게, 정발산동","고양 자원순환가게, 고품질 재활용품 유가보상제, 재활용, 분리배출, 투명페트병, 캔, 자원순환, 순환경제","투명페트병
유색페트병
판PET
플라스틱(PE)
종이박스
알루미늄 캔
철 캔","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
